"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 31일","31,793.4","31,730.2","32,377.5","31,221.2","86.60K","0.22%"
"2022년 05월 30일","31,723.3","29,465.2","32,185.6","29,307.2","129.56K","7.66%"
"2022년 05월 29일","29,465.2","29,027.1","29,556.5","28,838.7","36.87K","1.51%"
"2022년 05월 28일","29,027.1","28,620.1","29,194.4","28,537.2","43.87K","1.49%"
"2022년 05월 27일","28,601.2","29,194.0","29,377.1","28,282.2","116.41K","-2.06%"
"2022년 05월 26일","29,203.5","29,537.9","29,868.9","28,077.9","126.71K","-1.14%"
"2022년 05월 25일","29,540.6","29,648.7","30,202.3","29,353.5","78.85K","-0.36%"
"2022년 05월 24일","29,648.7","29,091.6","29,810.8","28,706.1","79.42K","1.91%"
"2022년 05월 23일","29,093.3","30,287.3","30,644.8","28,913.6","92.10K","-3.94%"
"2022년 05월 22일","30,286.6","29,433.0","30,462.0","29,260.1","50.60K","2.89%"
"2022년 05월 21일","29,434.6","29,188.7","29,623.2","28,953.9","32.27K","0.88%"
"2022년 05월 20일","29,178.6","30,305.9","30,735.1","28,738.5","98.78K","-3.72%"
"2022년 05월 19일","30,305.9","28,700.4","30,525.1","28,682.1","101.38K","5.66%"
"2022년 05월 18일","28,683.7","30,437.5","30,687.9","28,648.1","92.03K","-5.76%"
"2022년 05월 17일","30,437.5","29,856.7","30,720.1","29,484.5","79.63K","1.97%"
"2022년 05월 16일","29,849.0","31,308.3","31,312.4","29,135.8","100.25K","-4.66%"
"2022년 05월 15일","31,308.7","30,078.6","31,383.8","29,499.4","65.44K","4.08%"
"2022년 05월 14일","30,080.4","29,285.2","30,277.4","28,666.7","70.46K","2.72%"
"2022년 05월 13일","29,284.4","28,994.3","31,002.7","28,755.0","141.23K","1.06%"
"2022년 05월 12일","28,976.0","29,073.4","30,136.7","26,500.5","309.48K","-0.32%"
"2022년 05월 11일","29,068.2","31,008.0","32,113.6","27,835.5","296.90K","-6.25%"
"2022년 05월 10일","31,007.5","30,098.2","32,621.2","29,831.0","235.61K","3.03%"
"2022년 05월 09일","30,095.0","34,041.0","34,227.0","30,095.0","268.09K","-11.64%"
"2022년 05월 08일","34,060.0","35,468.0","35,497.0","33,727.0","671.05M","-3.97%"
"2022년 05월 07일","35,468.0","36,003.0","36,119.0","34,773.0","288.86M","-1.50%"
"2022년 05월 06일","36,009.0","36,540.0","36,646.0","35,267.0","752.84M","-1.46%"
"2022년 05월 05일","36,544.0","39,686.0","39,833.0","36,183.0","1.04B","-7.92%"
"2022년 05월 04일","39,688.0","37,717.0","40,021.0","37,660.0","691.49M","5.22%"
"2022년 05월 03일","37,718.0","38,515.0","38,647.0","37,513.0","367.21M","-2.07%"
"2022년 05월 02일","38,514.0","38,472.0","39,134.0","38,061.0","580.79M","0.14%"
"2022년 05월 01일","38,461.0","37,642.0","38,676.0","37,397.0","276.99M","2.15%"
"2022년 04월 30일","37,650.0","38,590.0","38,776.0","37,596.0","248.22M","-2.41%"
"2022년 04월 29일","38,581.0","39,748.0","39,919.0","38,175.0","382.90M","-2.94%"
"2022년 04월 28일","39,748.0","39,243.0","40,382.0","38,888.0","542.39M","1.29%"
"2022년 04월 27일","39,243.0","38,113.0","39,447.0","37,869.0","426.83M","2.96%"
"2022년 04월 26일","38,113.0","40,443.0","40,770.0","37,708.0","681.47M","-5.72%"
"2022년 04월 25일","40,427.0","39,464.0","40,599.0","38,233.0","654.60M","2.44%"
"2022년 04월 24일","39,464.0","39,434.0","39,929.0","39,033.0","283.63M","0.12%"
"2022년 04월 23일","39,418.0","39,709.0","39,973.0","39,291.0","190.60M","-0.73%"
"2022년 04월 22일","39,709.0","40,487.0","40,792.0","39,200.0","421.30M","-1.91%"
"2022년 04월 21일","40,482.0","41,370.0","42,969.0","39,793.0","493.05M","-2.14%"
"2022년 04월 20일","41,368.0","41,499.0","42,203.0","40,915.0","382.84M","-0.33%"
"2022년 04월 19일","41,503.0","40,809.0","41,746.0","40,585.0","268.28M","1.72%"
"2022년 04월 18일","40,803.0","39,700.0","41,095.0","38,577.0","484.26M","2.77%"
"2022년 04월 17일","39,703.0","40,382.0","40,599.0","39,561.0","210.01M","-1.68%"
"2022년 04월 16일","40,382.0","40,571.0","40,691.0","40,003.0","151.31M","-0.44%"
"2022년 04월 15일","40,560.0","39,936.0","40,850.0","39,781.0","233.09M","1.56%"
"2022년 04월 14일","39,936.0","41,133.0","41,494.0","39,585.0","294.29M","-2.91%"
"2022년 04월 13일","41,133.0","40,072.0","41,515.0","39,581.0","406.70M","2.63%"
"2022년 04월 12일","40,078.0","39,507.0","40,678.0","39,265.0","468.27M","1.47%"
"2022년 04월 11일","39,497.0","42,144.0","42,418.0","39,202.0","608.38M","-6.27%"
"2022년 04월 10일","42,138.0","42,760.0","43,421.0","41,884.0","255.83M","-1.47%"
"2022년 04월 09일","42,767.0","42,275.0","42,809.0","42,129.0","165.16M","1.16%"
"2022년 04월 08일","42,275.0","43,450.0","43,979.0","42,113.0","467.83M","-2.70%"
"2022년 04월 07일","43,448.0","43,166.0","43,893.0","42,747.0","390.85M","0.64%"
"2022년 04월 06일","43,173.0","45,494.0","45,519.0","43,122.0","649.52M","-5.13%"
"2022년 04월 05일","45,506.0","46,614.0","47,201.0","45,388.0","421.11M","-2.41%"
"2022년 04월 04일","46,629.0","46,407.0","46,899.0","45,152.0","446.12M","0.48%"
"2022년 04월 03일","46,407.0","45,813.0","47,435.0","45,554.0","398.86M","1.30%"
"2022년 04월 02일","45,811.0","46,299.0","47,212.0","45,641.0","345.93M","-1.05%"
"2022년 04월 01일","46,297.0","45,529.0","46,728.0","44,261.0","632.93M","1.70%"
"2022년 03월 31일","45,525.0","47,071.0","47,624.0","45,228.0","520.00M","-3.29%"
"2022년 03월 30일","47,075.0","47,449.0","47,714.0","46,601.0","467.76M","-0.79%"
"2022년 03월 29일","47,449.0","47,126.0","48,127.0","47,029.0","478.82M","0.73%"
"2022년 03월 28일","47,105.0","46,859.0","48,199.0","46,672.0","610.27M","0.52%"
"2022년 03월 27일","46,859.0","44,542.0","46,947.0","44,445.0","388.79M","5.19%"
"2022년 03월 26일","44,548.0","44,331.0","44,818.0","44,090.0","196.30M","0.49%"
"2022년 03월 25일","44,331.0","44,013.0","45,112.0","43,622.0","494.09M","0.72%"
"2022년 03월 24일","44,013.0","42,911.0","44,251.0","42,658.0","491.66M","2.57%"
"2022년 03월 23일","42,912.0","42,373.0","43,027.0","41,795.0","433.96M","1.27%"
"2022년 03월 22일","42,373.0","41,022.0","43,327.9","40,893.0","537.06M","3.29%"
"2022년 03월 21일","41,022.0","41,282.0","41,532.0","40,530.0","406.62M","-0.62%"
"2022년 03월 20일","41,276.0","42,241.0","42,301.0","40,922.0","308.45M","-2.27%"
"2022년 03월 19일","42,233.0","41,768.0","42,386.0","41,529.6","224.59M","1.11%"
"2022년 03월 18일","41,767.8","40,914.6","42,308.4","40,234.8","2.31B","2.08%"
"2022년 03월 17일","40,914.8","41,118.7","41,406.0","40,557.8","1.90B","-0.50%"
"2022년 03월 16일","41,118.7","39,282.5","41,701.6","38,953.2","4.47B","4.67%"
"2022년 03월 15일","39,285.7","39,673.0","39,854.7","38,220.9","2.25B","-0.97%"
"2022년 03월 14일","39,671.1","37,789.5","39,914.3","37,613.6","2.33B","4.97%"
"2022년 03월 13일","37,792.4","38,813.2","39,272.3","37,603.4","1.55B","-2.63%"
"2022년 03월 12일","38,814.3","38,730.2","39,355.3","38,666.5","1.11B","0.22%"
"2022년 03월 11일","38,730.2","39,422.5","40,177.0","38,236.4","2.79B","-1.74%"
"2022년 03월 10일","39,416.3","41,933.9","42,029.1","38,603.5","3.62B","-5.99%"
"2022년 03월 09일","41,929.0","38,731.5","42,538.5","38,663.3","3.60B","8.22%"
"2022년 03월 08일","38,744.8","38,020.6","39,351.5","37,886.6","2.67B","1.89%"
"2022년 03월 07일","38,024.8","38,420.6","39,532.0","37,182.1","3.02B","-0.99%"
"2022년 03월 06일","38,403.1","39,396.3","39,668.1","38,115.0","1.93B","-2.52%"
"2022년 03월 05일","39,395.8","39,142.8","39,600.2","38,626.1","1.50B","0.65%"
"2022년 03월 04일","39,142.7","42,463.0","42,848.7","38,594.9","3.21B","-7.82%"
"2022년 03월 03일","42,463.0","43,912.8","44,077.2","41,840.8","74.11K","-3.30%"
"2022년 03월 02일","43,912.8","44,420.3","45,294.2","43,361.3","80.82K","-1.14%"
"2022년 03월 01일","44,420.3","43,187.2","44,900.5","42,876.6","90.67K","2.85%"
"2022년 02월 28일","43,188.2","37,707.2","43,977.8","37,458.9","108.07K","14.59%"
"2022년 02월 27일","37,689.1","39,116.6","39,838.5","37,062.3","66.14K","-3.65%"
"2022년 02월 26일","39,115.5","39,221.6","40,094.5","38,639.1","41.55K","-0.24%"
"2022년 02월 25일","39,209.6","38,339.2","39,683.7","38,042.6","83.78K","2.27%"
"2022년 02월 24일","38,339.2","37,250.2","39,351.6","34,357.4","180.47K","2.99%"
"2022년 02월 23일","37,224.6","38,248.2","39,194.5","37,099.5","64.84K","-2.68%"
"2022년 02월 22일","38,248.2","37,018.3","38,414.9","36,399.6","82.75K","3.32%"
"2022년 02월 21일","37,017.7","38,355.0","39,444.1","36,868.9","91.82K","-3.49%"
"2022년 02월 20일","38,355.0","40,089.6","40,120.3","38,042.2","47.92K","-4.33%"
"2022년 02월 19일","40,090.3","40,000.1","40,434.3","39,666.6","25.78K","0.23%"
"2022년 02월 18일","40,000.1","40,532.5","40,935.5","39,505.0","64.96K","-1.36%"
"2022년 02월 17일","40,552.8","43,885.5","44,167.1","40,103.8","72.63K","-7.59%"
"2022년 02월 16일","43,883.6","44,540.9","44,552.9","43,377.6","41.40K","-1.48%"
"2022년 02월 15일","44,544.4","42,550.3","44,722.6","42,460.1","56.34K","4.69%"
"2022년 02월 14일","42,550.3","42,061.1","42,799.7","41,591.3","53.60K","1.16%"
"2022년 02월 13일","42,061.1","42,205.5","42,725.1","41,880.1","25.88K","-0.34%"
"2022년 02월 12일","42,205.2","42,388.4","43,006.4","41,776.8","37.88K","-0.43%"
"2022년 02월 11일","42,388.4","43,519.3","43,915.1","42,023.4","69.95K","-2.60%"
"2022년 02월 10일","43,521.0","44,388.9","45,755.2","43,242.5","89.69K","-1.96%"
"2022년 02월 09일","44,388.9","44,038.2","44,800.4","43,163.0","50.92K","0.80%"
"2022년 02월 08일","44,038.2","43,833.9","45,399.8","42,705.0","92.88K","0.47%"
"2022년 02월 07일","43,833.9","42,385.2","44,468.3","41,695.4","76.60K","3.40%"
"2022년 02월 06일","42,392.2","41,411.9","42,614.8","41,176.3","31.20K","2.37%"
"2022년 02월 05일","41,412.1","41,566.5","41,899.8","40,963.3","46.32K","-0.37%"
"2022년 02월 04일","41,567.6","37,287.8","41,689.0","37,041.1","95.49K","11.48%"
"2022년 02월 03일","37,287.8","36,890.2","37,304.3","36,297.3","50.35K","1.08%"
"2022년 02월 02일","36,890.2","38,711.2","38,853.8","36,682.3","53.74K","-4.70%"
"2022년 02월 01일","38,709.7","38,475.6","39,230.0","38,037.9","55.20K","0.55%"
"2022년 01월 31일","38,498.6","37,923.8","38,701.4","36,672.8","61.27K","1.53%"
"2022년 01월 30일","37,917.7","38,167.5","38,313.3","37,390.6","34.10K","-0.66%"
"2022년 01월 29일","38,170.8","37,736.5","38,663.7","37,350.2","42.77K","1.13%"
"2022년 01월 28일","37,745.1","37,195.6","37,995.9","36,176.5","69.45K","1.56%"
"2022년 01월 27일","37,164.3","36,800.1","37,215.4","35,543.2","83.52K","0.99%"
"2022년 01월 26일","36,800.4","36,962.3","38,862.6","36,280.0","107.87K","-0.41%"
"2022년 01월 25일","36,950.6","36,691.3","37,501.8","35,729.3","79.68K","0.72%"
"2022년 01월 24일","36,686.3","36,268.6","37,424.0","32,985.6","153.77K","1.15%"
"2022년 01월 23일","36,269.5","35,072.9","36,513.0","34,655.2","70.43K","3.40%"
"2022년 01월 22일","35,075.2","36,467.7","36,749.8","34,116.0","138.09K","-3.84%"
"2022년 01월 21일","36,475.5","40,698.1","41,104.6","35,503.9","155.80K","-10.41%"
"2022년 01월 20일","40,715.9","41,683.6","43,487.1","40,568.3","65.28K","-2.31%"
"2022년 01월 19일","41,677.8","42,365.3","42,558.0","41,160.9","53.77K","-1.62%"
"2022년 01월 18일","42,364.6","42,209.9","42,674.2","41,300.7","47.32K","0.37%"
"2022년 01월 17일","42,209.3","43,080.5","43,179.6","41,559.4","41.44K","-2.02%"
"2022년 01월 16일","43,079.1","43,079.2","43,462.0","42,643.3","28.66K","-0.04%"
"2022년 01월 15일","43,097.0","43,073.6","43,777.9","42,586.1","31.44K","0.06%"
"2022년 01월 14일","43,073.3","42,562.2","43,435.1","41,848.7","50.50K","1.21%"
"2022년 01월 13일","42,560.0","43,900.0","44,404.7","42,337.5","53.42K","-3.05%"
"2022년 01월 12일","43,901.0","42,735.0","44,243.6","42,476.7","53.95K","2.73%"
"2022년 01월 11일","42,733.2","41,829.1","43,090.2","41,287.6","61.78K","2.15%"
"2022년 01월 10일","41,832.2","41,848.9","42,243.8","39,697.0","85.50K","-0.04%"
"2022년 01월 09일","41,848.3","41,681.2","42,764.4","41,260.9","37.51K","0.42%"
"2022년 01월 08일","41,672.0","41,551.3","42,304.4","40,574.3","52.54K","0.30%"
"2022년 01월 07일","41,546.7","43,097.9","43,127.7","40,810.0","88.36K","-3.60%"
"2022년 01월 06일","43,097.5","43,431.6","43,772.3","42,481.1","63.08K","-0.76%"
"2022년 01월 05일","43,425.9","45,833.1","47,019.4","42,535.1","83.74K","-5.26%"
"2022년 01월 04일","45,837.3","46,435.7","47,505.4","45,602.1","55.59K","-1.28%"
"2022년 01월 03일","46,430.2","47,293.9","47,556.0","45,704.0","41.06K","-1.86%"
"2022년 01월 02일","47,311.8","47,738.7","47,944.9","46,718.2","27.02K","-0.89%"
"2022년 01월 01일","47,738.0","46,217.5","47,917.6","46,217.5","31.24K","3.29%"
"2021년 12월 31일","46,219.5","47,123.3","48,553.9","45,693.6","58.18K","-1.92%"
"2021년 12월 30일","47,123.3","46,470.7","47,901.4","46,003.0","60.96K","1.42%"
"2021년 12월 29일","46,461.7","47,548.4","48,121.7","46,127.8","63.92K","-2.28%"
"2021년 12월 28일","47,545.2","50,703.4","50,703.8","47,345.7","74.39K","-6.18%"
"2021년 12월 27일","50,678.2","50,783.6","52,016.3","50,459.0","43.90K","-0.20%"
"2021년 12월 26일","50,779.9","50,404.0","51,247.0","49,527.0","32.34K","0.74%"
"2021년 12월 25일","50,406.4","50,789.6","51,140.2","50,196.8","26.67K","-0.75%"
"2021년 12월 24일","50,786.1","50,807.4","51,795.3","50,428.4","45.97K","-0.03%"
"2021년 12월 23일","50,801.0","48,599.6","51,355.6","48,053.4","56.24K","4.53%"
"2021년 12월 22일","48,599.7","48,898.7","49,540.3","48,449.7","40.89K","-0.62%"
"2021년 12월 21일","48,902.0","46,900.1","49,306.1","46,654.0","57.88K","4.28%"
"2021년 12월 20일","46,895.2","46,703.4","47,488.9","45,577.3","57.53K","0.41%"
"2021년 12월 19일","46,704.5","46,855.7","48,270.2","46,438.4","44.05K","-0.32%"
"2021년 12월 18일","46,856.2","46,171.8","47,330.2","45,513.4","36.93K","1.48%"
"2021년 12월 17일","46,172.2","47,630.4","47,997.2","45,523.8","67.50K","-3.06%"
"2021년 12월 16일","47,628.2","48,876.6","49,387.8","47,543.9","48.20K","-2.54%"
"2021년 12월 15일","48,871.5","48,366.2","49,477.9","46,572.6","80.28K","1.04%"
"2021년 12월 14일","48,366.5","46,709.8","48,635.0","46,338.3","62.54K","3.56%"
"2021년 12월 13일","46,703.6","50,075.9","50,196.1","45,848.2","80.37K","-6.74%"
"2021년 12월 12일","50,081.0","49,332.5","50,779.2","48,670.5","40.30K","1.55%"
"2021년 12월 11일","49,314.5","47,138.4","49,487.0","46,834.0","45.23K","4.62%"
"2021년 12월 10일","47,137.2","47,591.7","49,974.8","47,007.1","68.06K","-0.97%"
"2021년 12월 09일","47,596.6","50,477.6","50,790.2","47,341.9","58.69K","-5.70%"
"2021년 12월 08일","50,473.9","50,596.6","51,204.7","48,700.7","55.59K","-0.24%"
"2021년 12월 07일","50,595.2","50,547.4","51,918.6","50,070.9","56.29K","0.07%"
"2021년 12월 06일","50,562.1","49,412.1","50,913.3","47,237.9","89.68K","2.34%"
"2021년 12월 05일","49,405.5","49,196.4","49,689.3","47,797.8","72.03K","0.43%"
"2021년 12월 04일","49,195.2","53,620.7","53,847.2","42,587.8","168.00K","-8.27%"
"2021년 12월 03일","53,631.5","56,495.2","57,543.6","52,008.9","89.20K","-5.07%"
"2021년 12월 02일","56,496.0","57,207.8","57,377.5","55,807.9","54.94K","-1.25%"
"2021년 12월 01일","57,210.3","56,891.7","59,064.3","56,496.5","66.75K","0.58%"
"2021년 11월 30일","56,882.9","57,795.2","59,174.4","55,936.9","73.66K","-1.58%"
"2021년 11월 29일","57,794.8","57,288.1","58,855.2","56,726.7","58.65K","0.88%"
"2021년 11월 28일","57,291.5","54,758.0","57,392.3","53,448.3","49.28K","4.61%"
"2021년 11월 27일","54,765.9","53,747.2","55,280.3","53,654.3","40.71K","1.93%"
"2021년 11월 26일","53,730.9","58,937.3","59,151.1","53,533.5","104.03K","-8.83%"
"2021년 11월 25일","58,935.1","57,167.1","59,387.3","57,029.8","56.79K","3.08%"
"2021년 11월 24일","57,171.7","57,559.4","57,697.4","55,910.6","56.68K","-0.70%"
"2021년 11월 23일","57,573.2","56,304.8","57,855.1","55,542.5","72.48K","2.25%"
"2021년 11월 22일","56,308.8","58,719.7","59,288.3","55,656.8","76.45K","-4.10%"
"2021년 11월 21일","58,714.3","59,724.0","60,002.6","58,528.3","40.98K","-1.68%"
"2021년 11월 20일","59,717.6","58,080.8","59,854.6","57,435.3","44.53K","2.81%"
"2021년 11월 19일","58,083.4","56,908.3","58,335.9","55,626.3","74.44K","1.98%"
"2021년 11월 18일","56,955.3","60,368.2","60,936.9","56,524.4","100.37K","-5.65%"
"2021년 11월 17일","60,367.8","60,074.2","60,814.5","58,531.9","73.93K","0.46%"
"2021년 11월 16일","60,089.1","63,605.1","63,605.6","58,655.9","115.36K","-5.52%"
"2021년 11월 15일","63,597.9","65,514.9","66,311.2","63,439.5","53.53K","-2.92%"
"2021년 11월 14일","65,508.2","64,397.2","65,508.2","63,608.3","33.98K","1.72%"
"2021년 11월 13일","64,398.6","64,133.3","64,906.0","63,381.4","30.34K","0.41%"
"2021년 11월 12일","64,134.5","64,782.6","65,449.7","62,309.7","63.27K","-1.04%"
"2021년 11월 11일","64,806.7","64,922.8","65,583.3","64,121.9","50.37K","-0.19%"
"2021년 11월 10일","64,932.6","66,942.6","68,990.6","62,951.3","96.21K","-2.95%"
"2021년 11월 09일","66,904.4","67,528.7","68,493.3","66,334.9","66.13K","-0.92%"
"2021년 11월 08일","67,527.9","63,276.4","67,763.3","63,276.4","81.08K","6.72%"
"2021년 11월 07일","63,273.2","61,483.8","63,273.2","61,347.2","34.34K","2.91%"
"2021년 11월 06일","61,483.9","60,973.2","61,543.2","60,093.6","34.89K","0.84%"
"2021년 11월 05일","60,974.3","61,411.5","62,560.3","60,742.4","44.46K","-0.71%"
"2021년 11월 04일","61,412.6","62,915.4","63,077.6","60,742.9","49.91K","-2.39%"
"2021년 11월 03일","62,918.5","63,223.5","63,508.6","60,883.0","61.05K","-0.48%"
"2021년 11월 02일","63,221.7","60,912.2","64,256.4","60,651.5","65.26K","3.79%"
"2021년 11월 01일","60,915.3","61,310.1","62,430.1","59,612.7","61.21K","-0.64%"
"2021년 10월 31일","61,309.6","61,842.2","62,393.7","60,005.7","50.06K","-0.86%"
"2021년 10월 30일","61,840.1","62,245.0","62,338.5","60,786.0","40.51K","-0.65%"
"2021년 10월 29일","62,242.8","60,579.9","62,952.2","60,322.2","63.39K","2.74%"
"2021년 10월 28일","60,582.5","58,437.2","62,251.3","58,128.1","88.47K","3.67%"
"2021년 10월 27일","58,438.1","60,312.5","61,452.9","58,112.6","88.11K","-3.11%"
"2021년 10월 26일","60,310.8","63,067.5","63,275.1","59,907.3","57.13K","-4.37%"
"2021년 10월 25일","63,067.0","60,864.3","63,694.8","60,655.8","51.06K","3.62%"
"2021년 10월 24일","60,866.5","61,308.2","61,469.9","59,523.7","42.67K","-0.73%"
"2021년 10월 23일","61,312.5","60,693.2","61,728.7","59,738.3","37.05K","1.03%"
"2021년 10월 22일","60,690.3","62,200.8","63,699.7","60,055.7","75.69K","-2.44%"
"2021년 10월 21일","62,210.2","66,004.6","66,616.9","62,092.1","105.38K","-5.71%"
"2021년 10월 20일","65,979.1","64,276.9","66,967.1","63,543.7","79.87K","2.65%"
"2021년 10월 19일","64,278.5","62,030.2","64,454.0","61,451.0","80.16K","3.58%"
"2021년 10월 18일","62,056.3","61,525.8","62,623.6","60,026.9","80.15K","0.86%"
"2021년 10월 17일","61,527.5","60,865.5","61,651.4","59,143.4","53.39K","1.09%"
"2021년 10월 16일","60,861.1","61,669.2","62,329.2","60,161.9","49.93K","-1.32%"
"2021년 10월 15일","61,672.5","57,348.2","62,892.8","56,874.8","121.48K","7.54%"
"2021년 10월 14일","57,345.8","57,370.4","58,506.5","56,866.8","59.84K","-0.06%"
"2021년 10월 13일","57,380.1","56,014.5","57,697.4","54,314.4","73.62K","2.44%"
"2021년 10월 12일","56,015.9","57,480.6","57,635.7","54,155.4","74.85K","-2.54%"
"2021년 10월 11일","57,477.3","54,686.9","57,814.1","54,457.8","73.84K","5.10%"
"2021년 10월 10일","54,687.7","54,942.5","56,432.2","54,100.8","104.43K","-0.46%"
"2021년 10월 09일","54,942.5","53,924.1","55,430.8","53,711.7","64.65K","1.91%"
"2021년 10월 08일","53,914.7","53,785.5","55,977.9","53,659.3","64.05K","0.24%"
"2021년 10월 07일","53,783.9","55,325.2","55,325.6","53,476.4","75.68K","-2.78%"
"2021년 10월 06일","55,323.2","51,470.0","55,676.1","50,439.5","116.26K","7.49%"
"2021년 10월 05일","51,469.3","49,229.5","51,872.4","49,060.1","76.63K","4.55%"
"2021년 10월 04일","49,227.3","48,200.4","49,481.7","46,958.6","66.92K","2.13%"
"2021년 10월 03일","48,200.1","47,665.4","49,165.2","47,123.0","42.41K","1.12%"
"2021년 10월 02일","47,666.9","48,147.2","48,306.9","47,451.7","39.82K","-1.00%"
"2021년 10월 01일","48,146.0","43,824.4","48,435.2","43,292.9","94.66K","9.86%"
"2021년 09월 30일","43,823.3","41,534.5","44,101.2","41,416.7","64.32K","5.50%"
"2021년 09월 29일","41,536.8","41,023.1","42,571.2","40,815.0","48.21K","1.25%"
"2021년 09월 28일","41,022.3","42,169.9","42,758.8","40,906.4","60.01K","-2.73%"
"2021년 09월 27일","42,172.6","43,200.9","44,293.2","42,143.9","54.12K","-2.39%"
